state,district,year,month,pincode,age_0_5,age_5_17,age_18_greater,total_activity,roll_3m,season,baseline_med,deviation_score,is_anomaly
Andhra Pradesh,Ananthapur,2025,11,191267901,476,34,0,510,512.6666666666666,Festival,510.0,0.0,False
Andhra Pradesh,Ananthapur,2025,12,157747723,428,28,0,456,474.3333333333333,Festival,457.0,-0.002183406113537118,False
Andhra Pradesh,Ananthapuramu,2025,9,322729433,917,52,4,973,973.0,Monsoon,973.0,0.0,False
Andhra Pradesh,Ananthapuramu,2025,10,222705840,669,42,1,712,842.5,Festival,842.5,-0.15471250740960285,False
Andhra Pradesh,Ananthapuramu,2025,11,271176832,829,41,3,873,852.6666666666666,Festival,873.0,0.0,False
Andhra Pradesh,Ananthapuramu,2025,12,197444124,603,24,2,629,738.0,Festival,712.0,-0.11640953716690042,False
Andhra Pradesh,Annamayya,2025,9,106966246,244,14,48,306,306.0,Monsoon,306.0,0.0,False
Andhra Pradesh,Annamayya,2025,10,71319849,164,15,6,185,245.5,Festival,245.5,-0.24543610547667344,False
Andhra Pradesh,Annamayya,2025,11,106954895,250,11,30,291,260.6666666666667,Festival,291.0,0.0,False
Andhra Pradesh,Annamayya,2025,12,76987873,210,8,21,239,238.33333333333331,Festival,239.0,0.0,False
Andhra Pradesh,Bapatla,2025,9,61680340,113,18,3,134,134.0,Monsoon,134.0,0.0,False
Andhra Pradesh,Bapatla,2025,10,38685657,75,11,2,88,111.0,Festival,111.0,-0.20535714285714285,False
Andhra Pradesh,Bapatla,2025,11,66900307,133,13,6,152,124.66666666666669,Festival,134.0,0.13333333333333333,False
Andhra Pradesh,Bapatla,2025,12,49127644,100,13,5,118,119.33333333333331,Festival,118.0,0.0,False
Andhra Pradesh,Chittoor,2025,9,625101099,2314,246,12,2572,2572.0,Monsoon,2572.0,0.0,False
Andhra Pradesh,Chittoor,2025,10,409237542,1618,165,5,1788,2180.0,Festival,2180.0,-0.17973406694176983,False
Andhra Pradesh,Chittoor,2025,11,517492609,2143,170,13,2326,2228.6666666666665,Festival,2326.0,0.0,False
Andhra Pradesh,Chittoor,2025,12,316629704,1418,78,13,1509,1874.3333333333333,Festival,1788.0,-0.15595304639463387,False
Andhra Pradesh,Cuddapah,2025,9,469270793,1561,162,0,1723,1723.0,Monsoon,1723.0,0.0,False
Andhra Pradesh,Cuddapah,2025,10,323690579,1206,83,0,1289,1506.0,Festival,1506.0,-0.14399469143994692,False
Andhra Pradesh,Cuddapah,2025,11,420746997,1604,115,1,1720,1577.3333333333333,Festival,1720.0,0.0,False
Andhra Pradesh,Cuddapah,2025,12,247800439,1148,53,1,1202,1403.6666666666667,Festival,1289.0,-0.06744186046511629,False
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,9,96519100,199,12,9,220,220.0,Monsoon,220.0,0.0,False
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,10,54924733,99,9,1,109,164.5,Festival,164.5,-0.33534743202416917,False
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,11,88519975,179,7,4,190,173.0,Festival,190.0,0.0,False
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,2025,12,59191343,141,2,3,146,148.33333333333334,Festival,146.0,0.0,False
Andhra Pradesh,East Godavari,2025,9,770427198,2291,209,3,2503,2503.0,Monsoon,2503.0,0.0,False
Andhra Pradesh,East Godavari,2025,10,468312709,1361,126,1,1488,1995.5,Festival,1995.5,-0.2541948409717005,False
Andhra Pradesh,East Godavari,2025,11,631776175,2041,116,5,2162,2051.0,Festival,2162.0,0.0,False
Andhra Pradesh,East Godavari,2025,12,394367340,1468,56,1,1525,1725.0,Festival,1525.0,0.0,False
Andhra Pradesh,Eluru,2025,9,83238439,165,16,1,182,182.0,Monsoon,182.0,0.0,False
Andhra Pradesh,Eluru,2025,10,47173373,100,10,1,111,146.5,Festival,146.5,-0.24067796610169492,False
Andhra Pradesh,Eluru,2025,11,92614429,180,13,10,203,165.33333333333334,Festival,182.0,0.11475409836065574,False
Andhra Pradesh,Eluru,2025,12,54573374,123,6,4,133,149.0,Festival,133.0,0.0,False
Andhra Pradesh,Guntur,2025,9,688969364,2402,337,9,2748,2748.0,Monsoon,2748.0,0.0,False
Andhra Pradesh,Guntur,2025,10,454440407,1514,219,1,1734,2241.0,Festival,2241.0,-0.22613737734165923,False
Andhra Pradesh,Guntur,2025,11,607993499,2698,257,14,2969,2483.6666666666665,Festival,2748.0,0.0803928701345944,False
Andhra Pradesh,Guntur,2025,12,413699688,2155,112,11,2278,2327.0,Festival,2278.0,0.0,False
Andhra Pradesh,Hyderabad,2025,9,312021242,1151,339,1,1491,1491.0,Monsoon,1491.0,0.0,False
Andhra Pradesh,Hyderabad,2025,10,222014853,967,280,0,1247,1369.0,Festival,1369.0,-0.08905109489051095,False
Andhra Pradesh,Hyderabad,2025,11,265517287,1083,284,0,1367,1368.3333333333333,Festival,1367.0,0.0,False
Andhra Pradesh,Hyderabad,2025,12,138509103,630,105,0,735,1116.3333333333333,Festival,1247.0,-0.41025641025641024,False
Andhra Pradesh,K.V. Rangareddy,2025,9,3012871,6,1,0,7,7.0,Monsoon,7.0,0.0,False
Andhra Pradesh,K.V. Rangareddy,2025,10,4018698,5,3,0,8,7.5,Festival,7.5,0.058823529411764705,False
Andhra Pradesh,K.V. Rangareddy,2025,11,501141,1,0,0,1,5.333333333333333,Festival,7.0,-0.75,False
Andhra Pradesh,K.V. Rangareddy,2025,12,1502334,3,0,0,3,4.0,Festival,3.0,0.0,False
Andhra Pradesh,K.V.Rangareddy,2025,9,14541663,26,3,0,29,29.0,Monsoon,29.0,0.0,False
Andhra Pradesh,K.V.Rangareddy,2025,10,7034007,11,6,0,17,23.0,Festival,23.0,-0.25,False
Andhra Pradesh,K.V.Rangareddy,2025,11,7011745,12,3,0,15,20.33333333333333,Festival,17.0,-0.1111111111111111,False
Andhra Pradesh,K.V.Rangareddy,2025,12,3502896,6,2,0,8,13.333333333333334,Festival,15.0,-0.4375,False
Andhra Pradesh,Kakinada,2025,9,113055160,238,24,9,271,271.0,Monsoon,271.0,0.0,False
Andhra Pradesh,Kakinada,2025,10,72527147,169,28,2,199,235.0,Festival,235.0,-0.15254237288135594,False
Andhra Pradesh,Kakinada,2025,11,102926438,246,19,11,276,248.66666666666663,Festival,271.0,0.01838235294117647,False
Andhra Pradesh,Kakinada,2025,12,84791212,205,13,5,223,232.66666666666663,Festival,223.0,0.0,False
Andhra Pradesh,Karim Nagar,2025,9,10609535,20,4,0,24,24.0,Monsoon,24.0,0.0,False
Andhra Pradesh,Karim Nagar,2025,10,10104875,21,4,0,25,24.5,Festival,24.5,0.0196078431372549,False
Andhra Pradesh,Karim Nagar,2025,11,9093271,19,3,0,22,23.666666666666668,Festival,24.0,-0.08,False
Andhra Pradesh,Karim Nagar,2025,12,4547436,11,0,0,11,19.33333333333333,Festival,22.0,-0.4782608695652174,False
Andhra Pradesh,Karimnagar,2025,9,110676150,225,50,0,275,275.0,Monsoon,275.0,0.0,False
Andhra Pradesh,Karimnagar,2025,10,70751213,143,24,0,167,221.0,Festival,221.0,-0.24324324324324326,False
Andhra Pradesh,Karimnagar,2025,11,60642004,119,21,0,140,194.0,Festival,167.0,-0.16071428571428573,False
Andhra Pradesh,Karimnagar,2025,12,36889857,65,12,0,77,128.0,Festival,140.0,-0.44680851063829785,False
Andhra Pradesh,Khammam,2025,9,157218464,340,119,0,459,459.0,Monsoon,459.0,0.0,False
Andhra Pradesh,Khammam,2025,10,103966607,201,59,0,260,359.5,Festival,359.5,-0.27600554785020803,False
Andhra Pradesh,Khammam,2025,11,112588819,227,72,0,299,339.3333333333333,Festival,299.0,0.0,False
Andhra Pradesh,Khammam,2025,12,48686781,101,14,0,115,224.66666666666663,Festival,260.0,-0.5555555555555556,False
Andhra Pradesh,Krishna,2025,9,626801827,1995,207,7,2209,2209.0,Monsoon,2209.0,0.0,False
Andhra Pradesh,Krishna,2025,10,360550179,1127,140,3,1270,1739.5,Festival,1739.5,-0.26975007181844296,False
Andhra Pradesh,Krishna,2025,11,505962019,1741,128,18,1887,1788.6666666666667,Festival,1887.0,0.0,False
Andhra Pradesh,Krishna,2025,12,312637400,1300,65,6,1371,1509.3333333333333,Festival,1371.0,0.0,False
Andhra Pradesh,Kurnool,2025,9,661909485,3164,308,9,3481,3481.0,Monsoon,3481.0,0.0,False
Andhra Pradesh,Kurnool,2025,10,457692474,2561,212,2,2775,3128.0,Festival,3128.0,-0.11281559603707254,False
Andhra Pradesh,Kurnool,2025,11,558767786,2965,194,6,3165,3140.333333333333,Festival,3165.0,0.0,False
Andhra Pradesh,Kurnool,2025,12,346250086,2233,109,7,2349,2763.0,Festival,2775.0,-0.15345821325648415,False
Andhra Pradesh,Mahabub Nagar,2025,9,187410735,472,200,0,672,672.0,Monsoon,672.0,0.0,False
Andhra Pradesh,Mahabub Nagar,2025,10,115091755,270,102,0,372,522.0,Festival,522.0,-0.28680688336520077,False
Andhra Pradesh,Mahabub Nagar,2025,11,120697261,231,106,0,337,460.3333333333333,Festival,372.0,-0.0938337801608579,False
Andhra Pradesh,Mahabub Nagar,2025,12,52455064,106,24,0,130,279.6666666666667,Festival,337.0,-0.6124260355029586,False
Andhra Pradesh,Mahabubnagar,2025,9,1527553,3,0,0,3,3.0,Monsoon,3.0,0.0,False
Andhra Pradesh,Mahabubnagar,2025,10,509120,1,0,0,1,2.0,Festival,2.0,-0.3333333333333333,False
Andhra Pradesh,Mahabubnagar,2025,12,1527905,3,0,0,3,2.333333333333333,Festival,3.0,0.0,False
Andhra Pradesh,Mahbubnagar,2025,9,107442510,202,85,0,287,287.0,Monsoon,287.0,0.0,False
Andhra Pradesh,Mahbubnagar,2025,10,71289780,124,65,0,189,238.0,Festival,238.0,-0.20502092050209206,False
Andhra Pradesh,Mahbubnagar,2025,11,67724762,129,43,0,172,216.0,Festival,189.0,-0.08947368421052632,False
Andhra Pradesh,Mahbubnagar,2025,12,32082252,56,18,0,74,145.0,Festival,172.0,-0.5664739884393064,False
Andhra Pradesh,Medak,2025,9,176284853,465,84,1,550,550.0,Monsoon,550.0,0.0,False
Andhra Pradesh,Medak,2025,10,114007829,277,67,0,344,447.0,Festival,447.0,-0.22991071428571427,False
Andhra Pradesh,Medak,2025,11,125058155,288,66,0,354,416.0,Festival,354.0,0.0,False
Andhra Pradesh,Medak,2025,12,55245156,146,12,0,158,285.3333333333333,Festival,344.0,-0.5391304347826087,False
Andhra Pradesh,N. T. R,2025,9,115591612,242,36,17,295,295.0,Monsoon,295.0,0.0,False
Andhra Pradesh,N. T. R,2025,10,65609538,149,20,5,174,234.5,Festival,234.5,-0.25690021231422505,False
Andhra Pradesh,N. T. R,2025,11,98413367,218,31,18,267,245.33333333333331,Festival,267.0,0.0,False
Andhra Pradesh,N. T. R,2025,12,66662283,181,10,6,197,212.66666666666663,Festival,197.0,0.0,False
Andhra Pradesh,Nalgonda,2025,9,166184400,385,99,0,484,484.0,Monsoon,484.0,0.0,False
Andhra Pradesh,Nalgonda,2025,10,110792252,240,50,0,290,387.0,Festival,387.0,-0.25,False
Andhra Pradesh,Nalgonda,2025,11,108758393,226,53,0,279,351.0,Festival,290.0,-0.037800687285223365,False
Andhra Pradesh,Nalgonda,2025,12,47772386,100,14,0,114,227.66666666666663,Festival,279.0,-0.5892857142857143,False
Andhra Pradesh,Nandyal,2025,9,93826977,221,6,3,230,230.0,Monsoon,230.0,0.0,False
Andhra Pradesh,Nandyal,2025,10,78272694,194,16,0,210,220.0,Festival,220.0,-0.04524886877828054,False
Andhra Pradesh,Nandyal,2025,11,100566730,264,12,2,278,239.33333333333331,Festival,230.0,0.2077922077922078,False
Andhra Pradesh,Nandyal,2025,12,61170267,181,5,1,187,225.0,Festival,210.0,-0.10900473933649289,False
Andhra Pradesh,Nellore,2025,9,482834720,1477,292,2,1771,1771.0,Monsoon,1771.0,0.0,False
Andhra Pradesh,Nellore,2025,10,291479230,884,174,0,1058,1414.5,Festival,1414.5,-0.25185446838572945,False
Andhra Pradesh,Nellore,2025,11,400005558,1311,202,0,1513,1447.3333333333333,Festival,1513.0,0.0,False
Andhra Pradesh,Nellore,2025,12,252164777,939,86,0,1025,1198.6666666666667,Festival,1058.0,-0.031161473087818695,False
Andhra Pradesh,Nizamabad,2025,9,71457652,167,28,0,195,195.0,Monsoon,195.0,0.0,False
Andhra Pradesh,Nizamabad,2025,10,48303641,138,19,0,157,176.0,Festival,176.0,-0.10734463276836158,False
Andhra Pradesh,Nizamabad,2025,11,42768885,104,21,0,125,159.0,Festival,157.0,-0.20253164556962025,False
Andhra Pradesh,Nizamabad,2025,12,15597520,44,3,0,47,109.66666666666669,Festival,125.0,-0.6190476190476191,False
Andhra Pradesh,Palnadu,2025,9,102929425,239,34,11,284,284.0,Monsoon,284.0,0.0,False
Andhra Pradesh,Palnadu,2025,10,63221375,148,17,1,166,225.0,Festival,225.0,-0.2610619469026549,False
Andhra Pradesh,Palnadu,2025,11,75237214,167,14,7,188,212.66666666666663,Festival,188.0,0.0,False
Andhra Pradesh,Palnadu,2025,12,74195882,205,11,6,222,192.0,Festival,188.0,0.17989417989417988,False
Andhra Pradesh,Parvathipuram Manyam,2025,9,70059927,162,11,4,177,177.0,Monsoon,177.0,0.0,False
Andhra Pradesh,Parvathipuram Manyam,2025,10,51358759,103,14,2,119,148.0,Festival,148.0,-0.19463087248322147,False
Andhra Pradesh,Parvathipuram Manyam,2025,11,50808105,106,9,0,115,137.0,Festival,119.0,-0.03333333333333333,False
Andhra Pradesh,Parvathipuram Manyam,2025,12,37976444,93,2,2,97,110.33333333333331,Festival,115.0,-0.15517241379310345,False
Andhra Pradesh,Prakasam,2025,7,523105,91,108,38,237,237.0,Monsoon,237.0,0.0,False
Andhra Pradesh,Prakasam,2025,9,682306215,2197,479,13,2689,1463.0,Monsoon,1463.0,0.837431693989071,False
Andhra Pradesh,Prakasam,2025,10,416499576,1290,217,2,1509,1478.3333333333333,Festival,1509.0,0.0,False
Andhra Pradesh,Prakasam,2025,11,506494191,1633,246,5,1884,2027.3333333333333,Festival,1884.0,0.0,False
Andhra Pradesh,Prakasam,2025,12,314466977,1194,107,3,1304,1565.6666666666667,Festival,1509.0,-0.1357615894039735,False
Andhra Pradesh,Rangareddi,2025,9,185378270,502,132,0,634,634.0,Monsoon,634.0,0.0,False
Andhra Pradesh,Rangareddi,2025,10,145249566,355,120,0,475,554.5,Festival,554.5,-0.14311431143114312,False
Andhra Pradesh,Rangareddi,2025,11,150730313,375,122,0,497,535.3333333333334,Festival,497.0,0.0,False
Andhra Pradesh,Rangareddi,2025,12,81123926,246,31,0,277,416.3333333333333,Festival,475.0,-0.41596638655462187,False
Andhra Pradesh,Spsr Nellore,2025,3,1048313,43,44,29,116,116.0,Non-peak,116.0,0.0,False
Andhra Pradesh,Spsr Nellore,2025,6,4718820,742,405,201,1348,732.0,Monsoon,732.0,0.8403819918144612,False
Andhra Pradesh,Spsr Nellore,2025,7,2621396,382,264,73,719,727.6666666666666,Monsoon,719.0,0.0,False
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,9,164562642,251,224,83,558,558.0,Monsoon,558.0,0.0,False
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,10,105352811,128,134,70,332,445.0,Festival,445.0,-0.2533632286995516,False
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,11,164054503,195,187,103,485,458.3333333333333,Festival,485.0,0.0,False
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,12,80193178,115,77,47,239,352.0,Festival,332.0,-0.27927927927927926,False
Andhra Pradesh,Sri Sathya Sai,2025,9,110294067,240,14,9,263,263.0,Monsoon,263.0,0.0,False
Andhra Pradesh,Sri Sathya Sai,2025,10,79889715,200,9,1,210,236.5,Festival,236.5,-0.11157894736842106,False
Andhra Pradesh,Sri Sathya Sai,2025,11,101013818,239,13,3,255,242.66666666666663,Festival,255.0,0.0,False
Andhra Pradesh,Sri Sathya Sai,2025,12,78339218,200,4,6,210,225.0,Festival,210.0,0.0,False
Andhra Pradesh,Srikakulam,2025,9,442397343,1339,53,5,1397,1397.0,Monsoon,1397.0,0.0,False
Andhra Pradesh,Srikakulam,2025,10,270431140,861,34,1,896,1146.5,Festival,1146.5,-0.21830065359477124,False
Andhra Pradesh,Srikakulam,2025,11,345487889,1185,34,0,1219,1170.6666666666667,Festival,1219.0,0.0,False
Andhra Pradesh,Srikakulam,2025,12,207089255,772,14,2,788,967.6666666666666,Festival,896.0,-0.12040133779264214,False
Andhra Pradesh,Tirupati,2025,9,145016108,223,310,84,617,617.0,Monsoon,617.0,0.0,False
Andhra Pradesh,Tirupati,2025,10,86782469,130,83,20,233,425.0,Festival,425.0,-0.4507042253521127,False
Andhra Pradesh,Tirupati,2025,11,155029567,223,209,76,508,452.6666666666667,Festival,508.0,0.0,False
Andhra Pradesh,Tirupati,2025,12,108176103,226,87,48,361,367.3333333333333,Festival,361.0,0.0,False
Andhra Pradesh,Visakhapatanam,2025,6,531029,186,28,12,226,226.0,Monsoon,226.0,0.0,False
Andhra Pradesh,Visakhapatnam,2025,9,648081049,2358,185,8,2551,2551.0,Monsoon,2551.0,0.0,False
Andhra Pradesh,Visakhapatnam,2025,10,399673147,1525,88,1,1614,2082.5,Festival,2082.5,-0.22486201103911688,False
Andhra Pradesh,Visakhapatnam,2025,11,528140158,2065,124,14,2203,2122.6666666666665,Festival,2203.0,0.0,False
Andhra Pradesh,Visakhapatnam,2025,12,365765337,1740,63,7,1810,1875.6666666666667,Festival,1810.0,0.0,False
Andhra Pradesh,Vizianagaram,2025,9,407219151,1220,72,2,1294,1294.0,Monsoon,1294.0,0.0,False
Andhra Pradesh,Vizianagaram,2025,10,235475155,739,40,0,779,1036.5,Festival,1036.5,-0.24819277108433735,False
Andhra Pradesh,Vizianagaram,2025,11,308218909,1012,33,1,1046,1039.6666666666667,Festival,1046.0,0.0,False
Andhra Pradesh,Vizianagaram,2025,12,187285388,724,13,0,737,854.0,Festival,779.0,-0.05384615384615385,False
Andhra Pradesh,Warangal,2025,9,146285980,329,60,0,389,389.0,Monsoon,389.0,0.0,False
Andhra Pradesh,Warangal,2025,10,109336750,231,63,0,294,341.5,Festival,341.5,-0.1386861313868613,False
Andhra Pradesh,Warangal,2025,11,95669520,193,58,0,251,311.3333333333333,Festival,294.0,-0.14576271186440679,False
Andhra Pradesh,Warangal,2025,12,52136529,105,20,0,125,223.33333333333331,Festival,251.0,-0.5,False
Andhra Pradesh,West Godavari,2025,9,646417656,1871,128,6,2005,2005.0,Monsoon,2005.0,0.0,False
Andhra Pradesh,West Godavari,2025,10,364896847,1015,91,6,1112,1558.5,Festival,1558.5,-0.2863097146521321,False
Andhra Pradesh,West Godavari,2025,11,511864368,1579,89,7,1675,1597.3333333333333,Festival,1675.0,0.0,False
Andhra Pradesh,West Godavari,2025,12,319700274,1103,35,5,1143,1310.0,Festival,1143.0,0.0,False
Andhra Pradesh,Y. S. R,2025,9,101181119,213,30,8,251,251.0,Monsoon,251.0,0.0,False
Andhra Pradesh,Y. S. R,2025,10,57299206,151,6,1,158,204.5,Festival,204.5,-0.22627737226277372,False
Andhra Pradesh,Y. S. R,2025,11,88277989,228,13,10,251,220.0,Festival,251.0,0.0,False
Andhra Pradesh,Y. S. R,2025,12,56787599,146,3,14,163,190.66666666666663,Festival,163.0,0.0,False
Arunachal Pradesh,Anjaw,2025,9,7128936,16,5,0,21,21.0,Monsoon,21.0,0.0,False
Arunachal Pradesh,Anjaw,2025,10,2376312,1,2,0,3,12.0,Festival,12.0,-0.6923076923076923,False
Arunachal Pradesh,Anjaw,2025,11,4752624,3,4,3,10,11.333333333333334,Festival,10.0,0.0,False
Arunachal Pradesh,Anjaw,2025,12,1584208,3,0,0,3,5.333333333333333,Festival,3.0,0.0,False
Arunachal Pradesh,Changlang,2025,9,59408027,288,136,5,429,429.0,Monsoon,429.0,0.0,False
Arunachal Pradesh,Changlang,2025,10,35644848,76,117,1,194,311.5,Festival,311.5,-0.376,False
Arunachal Pradesh,Changlang,2025,11,35644661,66,45,7,118,247.0,Festival,194.0,-0.38974358974358975,False
Arunachal Pradesh,Changlang,2025,12,15050174,56,6,0,62,124.66666666666669,Festival,118.0,-0.47058823529411764,False
Arunachal Pradesh,Dibang Valley,2025,9,2376303,2,2,0,4,4.0,Monsoon,4.0,0.0,False
Arunachal Pradesh,Dibang Valley,2025,10,3168413,3,1,0,4,4.0,Festival,4.0,0.0,False
Arunachal Pradesh,Dibang Valley,2025,11,792101,1,0,0,1,3.0,Festival,4.0,-0.6,False
Arunachal Pradesh,Dibang Valley,2025,12,792101,1,0,0,1,2.0,Festival,1.0,0.0,False
Arunachal Pradesh,East Kameng,2025,9,18962451,47,29,0,76,76.0,Monsoon,76.0,0.0,False
Arunachal Pradesh,East Kameng,2025,10,11851532,18,21,0,39,57.5,Festival,57.5,-0.3162393162393162,False
Arunachal Pradesh,East Kameng,2025,11,14221840,14,16,14,44,53.0,Festival,44.0,0.0,False
Arunachal Pradesh,East Kameng,2025,12,7901021,9,13,0,22,35.0,Festival,39.0,-0.425,False
Arunachal Pradesh,East Siang,2025,9,21359768,29,27,0,56,56.0,Monsoon,56.0,0.0,False
Arunachal Pradesh,East Siang,2025,10,14239846,21,21,0,42,49.0,Festival,49.0,-0.14,False
Arunachal Pradesh,East Siang,2025,11,18986466,23,29,2,54,50.66666666666666,Festival,54.0,0.0,False
Arunachal Pradesh,East Siang,2025,12,6328816,7,9,0,16,37.333333333333336,Festival,42.0,-0.6046511627906976,False
Arunachal Pradesh,Kamle,2025,9,6329040,2,18,0,20,20.0,Monsoon,20.0,0.0,False
Arunachal Pradesh,Kamle,2025,10,791130,0,1,0,1,10.5,Festival,10.5,-0.8260869565217391,True
Arunachal Pradesh,Kamle,2025,11,4746780,0,5,2,7,9.333333333333334,Festival,7.0,0.0,False
Arunachal Pradesh,Kamle,2025,12,1582260,1,1,0,2,3.333333333333333,Festival,2.0,0.0,False
Arunachal Pradesh,Kra Daadi,2025,9,10284534,7,27,0,34,34.0,Monsoon,34.0,0.0,False
Arunachal Pradesh,Kra Daadi,2025,10,9493416,7,15,0,22,28.0,Festival,28.0,-0.20689655172413793,False
Arunachal Pradesh,Kra Daadi,2025,11,6328944,3,9,4,16,24.0,Festival,22.0,-0.2608695652173913,False
Arunachal Pradesh,Kra Daadi,2025,12,3955590,1,8,0,9,15.666666666666666,Festival,16.0,-0.4117647058823529,False
Arunachal Pradesh,Kurung Kumey,2025,9,11075652,7,19,0,26,26.0,Monsoon,26.0,0.0,False
Arunachal Pradesh,Kurung Kumey,2025,10,7911180,7,11,0,18,22.0,Festival,22.0,-0.17391304347826086,False
