state,district,year,month,pincode,age_0_5,age_5_17,age_18_greater,total_activity,roll_3m,season
Andhra Pradesh,Khammam,2025,12,48686781,101,14,0,115,224.66666666666666,Festival
Andhra Pradesh,Krishna,2025,9,626801827,1995,207,7,2209,2209.0,Monsoon
Andhra Pradesh,Krishna,2025,10,360550179,1127,140,3,1270,1739.5,Festival
Andhra Pradesh,Krishna,2025,11,505962019,1741,128,18,1887,1788.6666666666667,Festival
Andhra Pradesh,Krishna,2025,12,312637400,1300,65,6,1371,1509.3333333333333,Festival
Andhra Pradesh,Kurnool,2025,9,661909485,3164,308,9,3481,3481.0,Monsoon
Andhra Pradesh,Kurnool,2025,10,457692474,2561,212,2,2775,3128.0,Festival
Andhra Pradesh,Kurnool,2025,11,558767786,2965,194,6,3165,3140.3333333333335,Festival
Andhra Pradesh,Kurnool,2025,12,346250086,2233,109,7,2349,2763.0,Festival
Andhra Pradesh,Mahabub Nagar,2025,9,187410735,472,200,0,672,672.0,Monsoon
Andhra Pradesh,Mahabub Nagar,2025,10,115091755,270,102,0,372,522.0,Festival
Andhra Pradesh,Mahabub Nagar,2025,11,120697261,231,106,0,337,460.3333333333333,Festival
Andhra Pradesh,Mahabub Nagar,2025,12,52455064,106,24,0,130,279.6666666666667,Festival
Andhra Pradesh,Mahabubnagar,2025,9,1527553,3,0,0,3,3.0,Monsoon
Andhra Pradesh,Mahabubnagar,2025,10,509120,1,0,0,1,2.0,Festival
Andhra Pradesh,Mahabubnagar,2025,12,1527905,3,0,0,3,2.3333333333333335,Festival
Andhra Pradesh,Mahbubnagar,2025,9,107442510,202,85,0,287,287.0,Monsoon
Andhra Pradesh,Mahbubnagar,2025,10,71289780,124,65,0,189,238.0,Festival
Andhra Pradesh,Mahbubnagar,2025,11,67724762,129,43,0,172,216.0,Festival
Andhra Pradesh,Mahbubnagar,2025,12,32082252,56,18,0,74,145.0,Festival
Andhra Pradesh,Medak,2025,9,176284853,465,84,1,550,550.0,Monsoon
Andhra Pradesh,Medak,2025,10,114007829,277,67,0,344,447.0,Festival
Andhra Pradesh,Medak,2025,11,125058155,288,66,0,354,416.0,Festival
Andhra Pradesh,Medak,2025,12,55245156,146,12,0,158,285.3333333333333,Festival
Andhra Pradesh,N. T. R,2025,9,115591612,242,36,17,295,295.0,Monsoon
Andhra Pradesh,N. T. R,2025,10,65609538,149,20,5,174,234.5,Festival
Andhra Pradesh,N. T. R,2025,11,98413367,218,31,18,267,245.33333333333334,Festival
Andhra Pradesh,N. T. R,2025,12,66662283,181,10,6,197,212.66666666666666,Festival
Andhra Pradesh,Nalgonda,2025,9,166184400,385,99,0,484,484.0,Monsoon
Andhra Pradesh,Nalgonda,2025,10,110792252,240,50,0,290,387.0,Festival
Andhra Pradesh,Nalgonda,2025,11,108758393,226,53,0,279,351.0,Festival
Andhra Pradesh,Nalgonda,2025,12,47772386,100,14,0,114,227.66666666666666,Festival
Andhra Pradesh,Nandyal,2025,9,93826977,221,6,3,230,230.0,Monsoon
Andhra Pradesh,Nandyal,2025,10,78272694,194,16,0,210,220.0,Festival
Andhra Pradesh,Nandyal,2025,11,100566730,264,12,2,278,239.33333333333334,Festival
Andhra Pradesh,Nandyal,2025,12,61170267,181,5,1,187,225.0,Festival
Andhra Pradesh,Nellore,2025,9,482834720,1477,292,2,1771,1771.0,Monsoon
Andhra Pradesh,Nellore,2025,10,291479230,884,174,0,1058,1414.5,Festival
Andhra Pradesh,Nellore,2025,11,400005558,1311,202,0,1513,1447.3333333333333,Festival
Andhra Pradesh,Nellore,2025,12,252164777,939,86,0,1025,1198.6666666666667,Festival
Andhra Pradesh,Nizamabad,2025,9,71457652,167,28,0,195,195.0,Monsoon
Andhra Pradesh,Nizamabad,2025,10,48303641,138,19,0,157,176.0,Festival
Andhra Pradesh,Nizamabad,2025,11,42768885,104,21,0,125,159.0,Festival
Andhra Pradesh,Nizamabad,2025,12,15597520,44,3,0,47,109.66666666666667,Festival
Andhra Pradesh,Palnadu,2025,9,102929425,239,34,11,284,284.0,Monsoon
Andhra Pradesh,Palnadu,2025,10,63221375,148,17,1,166,225.0,Festival
Andhra Pradesh,Palnadu,2025,11,75237214,167,14,7,188,212.66666666666666,Festival
Andhra Pradesh,Palnadu,2025,12,74195882,205,11,6,222,192.0,Festival
Andhra Pradesh,Parvathipuram Manyam,2025,9,70059927,162,11,4,177,177.0,Monsoon
Andhra Pradesh,Parvathipuram Manyam,2025,10,51358759,103,14,2,119,148.0,Festival
Andhra Pradesh,Parvathipuram Manyam,2025,11,50808105,106,9,0,115,137.0,Festival
Andhra Pradesh,Parvathipuram Manyam,2025,12,37976444,93,2,2,97,110.33333333333333,Festival
Andhra Pradesh,Prakasam,2025,7,523105,91,108,38,237,237.0,Monsoon
Andhra Pradesh,Prakasam,2025,9,682306215,2197,479,13,2689,1463.0,Monsoon
Andhra Pradesh,Prakasam,2025,10,416499576,1290,217,2,1509,1478.3333333333333,Festival
Andhra Pradesh,Prakasam,2025,11,506494191,1633,246,5,1884,2027.3333333333333,Festival
Andhra Pradesh,Prakasam,2025,12,314466977,1194,107,3,1304,1565.6666666666667,Festival
Andhra Pradesh,Rangareddi,2025,9,185378270,502,132,0,634,634.0,Monsoon
Andhra Pradesh,Rangareddi,2025,10,145249566,355,120,0,475,554.5,Festival
Andhra Pradesh,Rangareddi,2025,11,150730313,375,122,0,497,535.3333333333334,Festival
Andhra Pradesh,Rangareddi,2025,12,81123926,246,31,0,277,416.3333333333333,Festival
Andhra Pradesh,Spsr Nellore,2025,3,1048313,43,44,29,116,116.0,Non-peak
Andhra Pradesh,Spsr Nellore,2025,6,4718820,742,405,201,1348,732.0,Monsoon
Andhra Pradesh,Spsr Nellore,2025,7,2621396,382,264,73,719,727.6666666666666,Monsoon
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,9,164562642,251,224,83,558,558.0,Monsoon
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,10,105352811,128,134,70,332,445.0,Festival
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,11,164054503,195,187,103,485,458.3333333333333,Festival
Andhra Pradesh,Sri Potti Sriramulu Nellore,2025,12,80193178,115,77,47,239,352.0,Festival
Andhra Pradesh,Sri Sathya Sai,2025,9,110294067,240,14,9,263,263.0,Monsoon
Andhra Pradesh,Sri Sathya Sai,2025,10,79889715,200,9,1,210,236.5,Festival
Andhra Pradesh,Sri Sathya Sai,2025,11,101013818,239,13,3,255,242.66666666666666,Festival
Andhra Pradesh,Sri Sathya Sai,2025,12,78339218,200,4,6,210,225.0,Festival
Andhra Pradesh,Srikakulam,2025,9,442397343,1339,53,5,1397,1397.0,Monsoon
Andhra Pradesh,Srikakulam,2025,10,270431140,861,34,1,896,1146.5,Festival
Andhra Pradesh,Srikakulam,2025,11,345487889,1185,34,0,1219,1170.6666666666667,Festival
Andhra Pradesh,Srikakulam,2025,12,207089255,772,14,2,788,967.6666666666666,Festival
Andhra Pradesh,Tirupati,2025,9,145016108,223,310,84,617,617.0,Monsoon
Andhra Pradesh,Tirupati,2025,10,86782469,130,83,20,233,425.0,Festival
Andhra Pradesh,Tirupati,2025,11,155029567,223,209,76,508,452.6666666666667,Festival
Andhra Pradesh,Tirupati,2025,12,108176103,226,87,48,361,367.3333333333333,Festival
Andhra Pradesh,Visakhapatanam,2025,6,531029,186,28,12,226,226.0,Monsoon
Andhra Pradesh,Visakhapatnam,2025,9,648081049,2358,185,8,2551,2551.0,Monsoon
Andhra Pradesh,Visakhapatnam,2025,10,399673147,1525,88,1,1614,2082.5,Festival
Andhra Pradesh,Visakhapatnam,2025,11,528140158,2065,124,14,2203,2122.6666666666665,Festival
Andhra Pradesh,Visakhapatnam,2025,12,365765337,1740,63,7,1810,1875.6666666666667,Festival
Andhra Pradesh,Vizianagaram,2025,9,407219151,1220,72,2,1294,1294.0,Monsoon
Andhra Pradesh,Vizianagaram,2025,10,235475155,739,40,0,779,1036.5,Festival
Andhra Pradesh,Vizianagaram,2025,11,308218909,1012,33,1,1046,1039.6666666666667,Festival
Andhra Pradesh,Vizianagaram,2025,12,187285388,724,13,0,737,854.0,Festival
Andhra Pradesh,Warangal,2025,9,146285980,329,60,0,389,389.0,Monsoon
Andhra Pradesh,Warangal,2025,10,109336750,231,63,0,294,341.5,Festival
Andhra Pradesh,Warangal,2025,11,95669520,193,58,0,251,311.3333333333333,Festival
Andhra Pradesh,Warangal,2025,12,52136529,105,20,0,125,223.33333333333334,Festival
Andhra Pradesh,West Godavari,2025,9,646417656,1871,128,6,2005,2005.0,Monsoon
Andhra Pradesh,West Godavari,2025,10,364896847,1015,91,6,1112,1558.5,Festival
Andhra Pradesh,West Godavari,2025,11,511864368,1579,89,7,1675,1597.3333333333333,Festival
Andhra Pradesh,West Godavari,2025,12,319700274,1103,35,5,1143,1310.0,Festival
Andhra Pradesh,Y. S. R,2025,9,101181119,213,30,8,251,251.0,Monsoon
Andhra Pradesh,Y. S. R,2025,10,57299206,151,6,1,158,204.5,Festival
Andhra Pradesh,Y. S. R,2025,11,88277989,228,13,10,251,220.0,Festival
Andhra Pradesh,Y. S. R,2025,12,56787599,146,3,14,163,190.66666666666666,Festival
Arunachal Pradesh,Anjaw,2025,9,7128936,16,5,0,21,21.0,Monsoon
Arunachal Pradesh,Anjaw,2025,10,2376312,1,2,0,3,12.0,Festival
Arunachal Pradesh,Anjaw,2025,11,4752624,3,4,3,10,11.333333333333334,Festival
Arunachal Pradesh,Anjaw,2025,12,1584208,3,0,0,3,5.333333333333333,Festival
Arunachal Pradesh,Changlang,2025,9,59408027,288,136,5,429,429.0,Monsoon
Arunachal Pradesh,Changlang,2025,10,35644848,76,117,1,194,311.5,Festival
Arunachal Pradesh,Changlang,2025,11,35644661,66,45,7,118,247.0,Festival
Arunachal Pradesh,Changlang,2025,12,15050174,56,6,0,62,124.66666666666667,Festival
Arunachal Pradesh,Dibang Valley,2025,9,2376303,2,2,0,4,4.0,Monsoon
Arunachal Pradesh,Dibang Valley,2025,10,3168413,3,1,0,4,4.0,Festival
Arunachal Pradesh,Dibang Valley,2025,11,792101,1,0,0,1,3.0,Festival
Arunachal Pradesh,Dibang Valley,2025,12,792101,1,0,0,1,2.0,Festival
Arunachal Pradesh,East Kameng,2025,9,18962451,47,29,0,76,76.0,Monsoon
Arunachal Pradesh,East Kameng,2025,10,11851532,18,21,0,39,57.5,Festival
Arunachal Pradesh,East Kameng,2025,11,14221840,14,16,14,44,53.0,Festival
Arunachal Pradesh,East Kameng,2025,12,7901021,9,13,0,22,35.0,Festival
Arunachal Pradesh,East Siang,2025,9,21359768,29,27,0,56,56.0,Monsoon
Arunachal Pradesh,East Siang,2025,10,14239846,21,21,0,42,49.0,Festival
Arunachal Pradesh,East Siang,2025,11,18986466,23,29,2,54,50.666666666666664,Festival
Arunachal Pradesh,East Siang,2025,12,6328816,7,9,0,16,37.333333333333336,Festival
Arunachal Pradesh,Kamle,2025,9,6329040,2,18,0,20,20.0,Monsoon
Arunachal Pradesh,Kamle,2025,10,791130,0,1,0,1,10.5,Festival
Arunachal Pradesh,Kamle,2025,11,4746780,0,5,2,7,9.333333333333334,Festival
Arunachal Pradesh,Kamle,2025,12,1582260,1,1,0,2,3.3333333333333335,Festival
Arunachal Pradesh,Kra Daadi,2025,9,10284534,7,27,0,34,34.0,Monsoon
Arunachal Pradesh,Kra Daadi,2025,10,9493416,7,15,0,22,28.0,Festival
Arunachal Pradesh,Kra Daadi,2025,11,6328944,3,9,4,16,24.0,Festival
Arunachal Pradesh,Kra Daadi,2025,12,3955590,1,8,0,9,15.666666666666666,Festival
Arunachal Pradesh,Kurung Kumey,2025,9,11075652,7,19,0,26,26.0,Monsoon
Arunachal Pradesh,Kurung Kumey,2025,10,7911180,7,11,0,18,22.0,Festival
Arunachal Pradesh,Kurung Kumey,2025,11,6328944,3,12,12,27,23.666666666666668,Festival
Arunachal Pradesh,Kurung Kumey,2025,12,1582236,2,2,0,4,16.333333333333332,Festival
Arunachal Pradesh,Leparada,2025,9,791101,0,1,0,1,1.0,Monsoon
Arunachal Pradesh,Leparada,2025,11,791101,0,0,1,1,1.0,Festival
Arunachal Pradesh,Leparada,2025,12,791101,0,1,0,1,1.0,Festival
Arunachal Pradesh,Lohit,2025,9,21385555,30,18,0,48,48.0,Monsoon
Arunachal Pradesh,Lohit,2025,10,19009449,18,23,0,41,44.5,Festival
Arunachal Pradesh,Lohit,2025,11,13464939,17,11,1,29,39.333333333333336,Festival
Arunachal Pradesh,Lohit,2025,12,11880631,37,11,0,48,39.333333333333336,Festival
Arunachal Pradesh,Longding,2025,7,792131,46,322,33,401,401.0,Monsoon
Arunachal Pradesh,Longding,2025,9,25337187,61,269,0,330,365.5,Monsoon
Arunachal Pradesh,Longding,2025,10,12674095,12,59,0,71,267.3333333333333,Festival
Arunachal Pradesh,Longding,2025,11,18219010,17,63,4,84,161.66666666666666,Festival
Arunachal Pradesh,Longding,2025,12,4752786,5,6,0,11,55.333333333333336,Festival
Arunachal Pradesh,Lower Dibang Valley,2025,9,14257980,24,19,0,43,43.0,Monsoon
Arunachal Pradesh,Lower Dibang Valley,2025,10,12673760,17,11,0,28,35.5,Festival
Arunachal Pradesh,Lower Dibang Valley,2025,11,9505320,7,14,2,23,31.333333333333332,Festival
Arunachal Pradesh,Lower Dibang Valley,2025,12,6336880,10,5,0,15,22.0,Festival
Arunachal Pradesh,Lower Siang,2025,9,7120102,6,6,0,12,12.0,Monsoon
Arunachal Pradesh,Lower Siang,2025,10,3164453,0,4,0,4,8.0,Festival
Arunachal Pradesh,Lower Siang,2025,11,7911203,4,7,3,14,10.0,Festival
Arunachal Pradesh,Lower Siang,2025,12,791101,0,1,0,1,6.333333333333333,Festival
Arunachal Pradesh,Lower Subansiri,2025,9,17404637,19,25,0,44,44.0,Monsoon
Arunachal Pradesh,Lower Subansiri,2025,10,9493438,6,16,0,22,33.0,Festival
Arunachal Pradesh,Lower Subansiri,2025,11,13449036,18,10,0,28,31.333333333333332,Festival
Arunachal Pradesh,Lower Subansiri,2025,12,5537838,7,4,0,11,20.333333333333332,Festival
Arunachal Pradesh,Namsai,2025,9,23763110,32,29,0,61,61.0,Monsoon
Arunachal Pradesh,Namsai,2025,10,19010485,20,15,1,36,48.5,Festival
Arunachal Pradesh,Namsai,2025,11,12673658,22,3,0,25,40.666666666666664,Festival
Arunachal Pradesh,Namsai,2025,12,13465766,21,7,0,28,29.666666666666668,Festival
Arunachal Pradesh,Pakke Kessang,2025,9,1580206,1,1,0,2,2.0,Monsoon
Arunachal Pradesh,Pakke Kessang,2025,10,790103,1,0,0,1,1.5,Festival
Arunachal Pradesh,Pakke Kessang,2025,11,790103,0,0,1,1,1.3333333333333333,Festival
Arunachal Pradesh,Papum Pare,2025,9,67244598,72,87,0,159,159.0,Monsoon
Arunachal Pradesh,Papum Pare,2025,10,48257939,56,66,0,122,140.5,Festival
Arunachal Pradesh,Papum Pare,2025,11,52213482,49,63,5,117,132.66666666666666,Festival
Arunachal Pradesh,Papum Pare,2025,12,21360063,24,25,0,49,96.0,Festival
Arunachal Pradesh,Shi-Yomi,2025,9,2373009,5,0,0,5,5.0,Monsoon
Arunachal Pradesh,Shi-Yomi,2025,10,4746018,2,5,0,7,6.0,Festival
Arunachal Pradesh,Shi-Yomi,2025,11,6328024,1,15,5,21,11.0,Festival
Arunachal Pradesh,Shi-Yomi,2025,12,1582006,0,2,0,2,10.0,Festival
Arunachal Pradesh,Siang,2025,9,18984630,31,43,0,74,74.0,Monsoon
Arunachal Pradesh,Siang,2025,10,7910414,4,11,0,15,44.5,Festival
Arunachal Pradesh,Siang,2025,11,7119312,2,6,4,12,33.666666666666664,Festival
Arunachal Pradesh,Siang,2025,12,1582103,2,0,0,2,9.666666666666666,Festival
Arunachal Pradesh,Tawang,2025,9,22122939,56,14,0,70,70.0,Monsoon
Arunachal Pradesh,Tawang,2025,10,17382312,20,10,2,32,51.0,Festival
Arunachal Pradesh,Tawang,2025,11,18172419,16,13,5,34,45.333333333333336,Festival
Arunachal Pradesh,Tawang,2025,12,9481262,12,6,0,18,28.0,Festival
Arunachal Pradesh,Tirap,2025,9,11859950,16,10,0,26,26.0,Monsoon
Arunachal Pradesh,Tirap,2025,10,15028464,19,9,0,28,27.0,Festival
Arunachal Pradesh,Tirap,2025,11,17393852,20,14,1,35,29.666666666666668,Festival
Arunachal Pradesh,Tirap,2025,12,5528408,4,6,0,10,24.333333333333332,Festival
Arunachal Pradesh,Upper Siang,2025,9,9496260,10,5,0,15,15.0,Monsoon
Arunachal Pradesh,Upper Siang,2025,10,8703140,6,9,0,15,15.0,Festival
Arunachal Pradesh,Upper Siang,2025,11,5538073,3,5,1,9,13.0,Festival
Arunachal Pradesh,Upper Siang,2025,12,3165067,2,2,0,4,9.333333333333334,Festival
Arunachal Pradesh,Upper Subansiri,2025,9,15031318,34,22,0,56,56.0,Monsoon
Arunachal Pradesh,Upper Subansiri,2025,10,10284586,14,16,1,31,43.5,Festival
Arunachal Pradesh,Upper Subansiri,2025,11,10284586,11,11,11,33,40.0,Festival
Arunachal Pradesh,Upper Subansiri,2025,12,6328976,17,6,0,23,29.0,Festival
Arunachal Pradesh,West Kameng,2025,7,790101,43,30,10,83,83.0,Monsoon
Arunachal Pradesh,West Kameng,2025,9,37132771,46,35,1,82,82.5,Monsoon
Arunachal Pradesh,West Kameng,2025,10,22121407,32,14,0,46,70.33333333333333,Festival
Arunachal Pradesh,West Kameng,2025,11,26071629,20,19,7,46,58.0,Festival
Arunachal Pradesh,West Kameng,2025,12,14220827,16,5,0,21,37.666666666666664,Festival
Arunachal Pradesh,West Siang,2025,9,32434689,45,35,0,80,80.0,Monsoon
Arunachal Pradesh,West Siang,2025,10,15820568,27,16,0,43,61.5,Festival
Arunachal Pradesh,West Siang,2025,11,16612695,21,21,2,44,55.666666666666664,Festival
Arunachal Pradesh,West Siang,2025,12,13448915,17,8,0,25,37.333333333333336,Festival
